year,quarter,StateCode,State,topicdesc,policytopic,setting,title,status,citation,statusaltvalue,comments,displayorder,policytypeid,healthtopicid,policytopicid,settingid,provisionid,geolocation
2011,1,MS,Mississippi,Nutrition,Correctional Facilities Farms Programs,School/After School,Council on Combating Obesity,Dead,H924,3,"(Abstract - Creates the Council on Combating Obesity to implement a statewide policy on physical activity, to increase compliance with nutrition standards, to reduce nurse-to-student ratios at schools, to study school counseling services and childhood depression and suicide, providing school nutrition counseling, to collect related data on obesity and current treatment programs and services, to collect data on the economic impact on the state of treating obesity, and related work site tax credits. The council shall develop a strategic plan to combat obesity in Mississippi, which shall address such matters as: implementing a statewide policy on physical activity, considering the feasibility of awarding tax incentives for work sites that promote activities to reduce obesity, and identifying and making recommendations to reduce cultural, environmental and socioeconomic barriers to prevention and management of obesity.   ), (BillHistory - 01/17/2011 - INTRODUCED.;01/17/2011 - To HOUSE Committee on PUBLIC HEALTH AND HUMAN SERVICES.;02/01/2011 - From HOUSE Committee on PUBLIC HEALTH AND HUMAN SERVICES:  Do pass with substitute.;02/08/2011 - Committee substitute adopted on HOUSE floor.;02/08/2011 - Passed HOUSE.  *****To SENATE.;02/11/2011 - To SENATE Committee on PUBLIC HEALTH AND WELFARE.;02/28/2011 - From SENATE Committee on PUBLIC HEALTH AND WELFARE:  Do pass as amended.;03/09/2011 - Committee amendment adopted on SENATE floor.;03/09/2011 - Passed SENATE.  *****To HOUSE for concurrence.;03/15/2011 - HOUSE refused to concur in SENATE amendments.;03/15/2011 - *****To CONFERENCE Committee.;03/27/2011 - CONFERENCE Committee Report filed in SENATE.;03/27/2011 - CONFERENCE Committee Report filed in HOUSE.;03/28/2011 - CONFERENCE Committee Report adopted by SENATE.;03/28/2011 - CONFERENCE Committee Report adopted by HOUSE.;03/28/2011 - Eligible for GOVERNOR'S desk.;04/08/2011 - *****To GOVERNOR.;04/26/2011 - Vetoed by GOVERNOR.)",11,LEG,001NUT,018CFP,004SAS,4173,"(32.745510099, -89.538030825)"
2010,1,PA,Pennsylvania,Nutrition,Appropriations,Restaurant/Retail,National Fresh Food Financing Initiative,Enacted,HR728,1,"(Abstract - Recognizes the potential for a national fresh food financing initiative to provide an effective and economically sustainable solution to the problem of limited access to healthy foods in underserved urban, suburban and rural low-income communities, while also improving health and stimulating local economic development. ), (BillHistory - 04/07/2010 - FILED.;04/07/2010 - INTRODUCED.;04/07/2010 - To HOUSE Committee on AGRICULTURE AND RURAL AFFAIRS.;04/27/2010 - From HOUSE Committee on AGRICULTURE AND RURAL AFFAIRS.;05/04/2010 - Passed HOUSE.)",2,LEG,001NUT,002APP,006RES,1176,"(40.793730152, -77.860700294)"
2011,1,TN,Tennessee,Nutrition,Medical Care,School/After School,Speeding in Marked School Zone,Dead,S1083,3,"(Abstract - Increases penalty for speeding in marked school zone from Class C misdemeanor to Class B misdemeanor, designates $50.00 of such enhanced penalty to be used by Tennessee Department of Transportation for grants for safe pathways for students. Funds distributed pursuant to this section shall only be used for funding education, enforcement and other efforts that encourage walking and bicycling to school.   ), (BillHistory - 02/17/2011 - INTRODUCED.;02/23/2011 - To SENATE Committee on TRANSPORTATION.;03/16/2011 - From SENATE Committee on TRANSPORTATION:  Recommend passage with amendment.;03/16/2011 - To SENATE Committee on FINANCE, WAYS AND MEANS.)",16,LEG,001NUT,026MEC,004SAS,4579,"(35.68094058, -85.774490914)"
2009,1,MO,Missouri,Nutrition,Appropriations,Early Care and Education,Office of Child Nutrition and Wellness,Dead,H758,3,"(Abstract - Establishes an advisory council and Office of Child Nutrition and Wellness to promote better child nutrition and wellness.), (BillHistory - 02/17/2009 - INTRODUCED.;05/15/2009 - To HOUSE Special Committee on CHILDREN AND FAMILIES.)",2,LEG,001NUT,002APP,001ECE,770,"(38.635790776, -92.566300053)"
2009,1,HI,Hawaii,Physical Activity,Public Transportation,Community,Loan Guaranty Program For Transit Oriented Development,Dead,H864,3,"(Abstract - Authorizes Hawaii housing finance and development corporation to guarantee loans made by commercial lenders to developers for the financing of transit-oriented development projects that include affordable housing.), (BillHistory - 01/26/2009 - INTRODUCED.;01/28/2009 - To HOUSE Committee on TRANSPORTATION.)",63,LEG,003PA,040TRS,002COM,165,"(21.304850435, -157.857749403)"
2010,1,HI,Hawaii,Nutrition,Appropriations,Restaurant/Retail,Food Safe Certification and Pilot Program,Enacted,H1471,1,"(Abstract - Establishes a pilot program to encourage farmers to form agricultural cooperatives, coordinate purchasing agreements between the agricultural cooperatives and hotels, restaurants, and other buyers in the visitor and hospitality industries, and develop and implement safe food certification for products under the pilot program, appropriates funds. ), (BillHistory - 01/27/2009 - INTRODUCED.;01/30/2009 - To HOUSE Committee on TOURISM, CULTURE AND INTERNATIONAL AFFAIRS.;01/30/2009 - Additionally referred to HOUSE Committee on AGRICULTURE.;02/18/2009 - In HOUSE Committee on TOURISM, CULTURE AND INTERNATIONAL AFFAIRS:  Voted do pass with amendment.;02/18/2009 - In HOUSE Committee on AGRICULTURE:  Voted do pass with amendment.;02/19/2009 - From HOUSE Committee on TOURISM, CULTURE AND INTERNATIONAL AFFAIRS:  Do pass as amended.;02/19/2009 - From HOUSE Committee on AGRICULTURE:  Do pass as amended.;02/20/2009 - In HOUSE.  Read second time.  Committee amendment adopted. House Draft 1.;02/20/2009 - To HOUSE Committee on FINANCE.;03/04/2009 - In HOUSE Committee on FINANCE:  Voted do pass with amendment.;03/06/2009 - From HOUSE Committee on FINANCE:  Do pass as amended.;03/10/2009 - In HOUSE. Committee amendment adopted on third reading. House Draft 2.;03/10/2009 - In HOUSE.  Read third time.  Passed HOUSE.  *****To SENATE.;03/12/2009 - To SENATE Committee on WATER, LAND, AGRICULTURE AND HAWAIIAN AFFAIRS.;03/20/2009 - In SENATE Committee on WATER, LAND, AGRICULTURE AND HAWAIIAN AFFAIRS:  Voted do pass.;03/25/2009 - From SENATE Committee on WATER, LAND, AGRICULTURE AND HAWAIIAN AFFAIRS:  Do pass.;03/25/2009 - In SENATE.  Read second time.;03/25/2009 - To SENATE Committee on WAYS AND MEANS.;04/02/2009 - In SENATE Committee on WAYS AND MEANS:  Voted do pass with amendment.;04/09/2009 - From SENATE Committee on WAYS AND MEANS:  Do pass as amended.;04/14/2009 - In SENATE. Committee amendment adopted on third reading. Senate Draft 1.;04/14/2009 - In SENATE.  Read third time.  Passed SENATE.  *****To HOUSE for concurrence.;04/16/2009 - In HOUSE.  HOUSE disagreed to SENATE amendments.;04/17/2009 - *****To CONFERENCE Committee.;04/30/2009 - In CONFERENCE Committee:  Voted do pass as amended.;05/01/2009 - From CONFERENCE Committee:  Do pass as amended in Conference Draft 1.;05/07/2009 - In HOUSE.  Read final time.  CONFERENCE Committee draft adopted by HOUSE.;05/07/2009 - In SENATE.  Read final time.  CONFERENCE Committee draft adopted by SENATE.;05/11/2009 - *****To GOVERNOR.;06/30/2009 - Notice of intent to veto issued by GOVERNOR.;07/15/2009 - Vetoed by GOVERNOR.;07/15/2009 - GOVERNOR'S veto overridden by SENATE.  *****To HOUSE for concurrence.;07/15/2009 - GOVERNOR'S veto overridden by HOUSE.;07/15/2009 - Special Session of 2009 Act No. 9)",2,LEG,001NUT,002APP,006RES,2564,"(21.304850435, -157.857749403)"
2009,1,WA,Washington,Obesity,Food Restrictions,Community,A Meat And Poultry Inspection Program,Dead,S5517,3,"(Abstract - Establishes a meat and poultry inspection program, finds that:  Several states administer state meat and poultry inspection programs at facilities for which inspection by the federal food safety inspection service of the United States department of agriculture is not readily available, and a state inspection program would support the needs of local producers who wish to sell to local consumers. ), (BillHistory - 01/26/2009 - INTRODUCED.;01/26/2009 - To SENATE Committee on AGRICULTURE AND RURAL ECONOMIC DEVELOPMENT.;01/11/2010 - By Order of Resolution -  Reintroduced and retained in present status.;03/15/2010 - 2010 FIRST SPECIAL SESSION ACTION.;03/15/2010 - By Order of Resolution -  Reintroduced and retained in present status.)",35,LEG,002OB,020FOR,002COM,645,"(47.522278629, -120.47001079)"
2011,1,CT,Connecticut,Nutrition,Incentives,Restaurant/Retail,Food Service Permit Fee for Farmers Markets,Dead,S143,3,"(Abstract - Eliminates the food service permit fee for farmers' markets, reduces expenses for businesses participating in farmers' markets by eliminating food service permit fees.   ), (BillHistory - 01/14/2011 - INTRODUCED.;01/14/2011 - To JOINT Committee on PUBLIC HEALTH.;04/01/2011 - Failed Joint Favorable deadline.)",17,LEG,001NUT,029INC,006RES,3632,"(41.56266102, -72.649840952)"
2009,1,MA,Massachusetts,Nutrition,Sodium,Community,Transportation System Reform,Dead,S13,3,"(Abstract - Reforms, rebuilds and renews the transportation system of the Commonwealth for the twenty-first century.), (BillHistory - 02/26/2009 - INTRODUCED.;02/26/2009 - To JOINT Committee on TRANSPORTATION.;02/26/2009 - Filed as Senate Docket 2063.;03/12/2009 - In JOINT Committee on TRANSPORTATION:  Heard. Eligible for Executive Session.)",22,LEG,001NUT,045SOD,002COM,280,"(42.27687047, -72.082690675)"
2011,1,TX,Texas,Nutrition,Medical Care,Community,Bicycle Accommodation,Dead,H3731,3,"(Abstract - Relates to the accommodation of bicycles, pedestrians, and mass transit riders on streets and highways.   ), (BillHistory - 03/11/2011 - INTRODUCED.;03/23/2011 - To HOUSE Committee on TRANSPORTATION.)",16,LEG,001NUT,026MEC,002COM,4638,"(31.827240407, -99.426770206)"
2009,1,WA,Washington,Obesity,Appropriations,Community,Motorcycles and Bicycles,Dead,H1403,3,"(Abstract - Addresses the detection of motorcycles and bicycles at vehicle-activated traffic control signals. ), (BillHistory - 01/20/2009 - INTRODUCED.;01/20/2009 - To HOUSE Committee on TRANSPORTATION.;02/20/2009 - From HOUSE Committee on TRANSPORTATION:  Do pass as substituted.;01/11/2010 - By Order of Resolution -  Reintroduced and retained in present status.;01/11/2010 - Referred to HOUSE Committee on TRANSPORTATION.;03/15/2010 - 2010 FIRST SPECIAL SESSION ACTION.;03/15/2010 - By Order of Resolution -  Reintroduced and retained in present status.)",28,LEG,002OB,002APP,002COM,1829,"(47.522278629, -120.47001079)"
2011,1,SC,South Carolina,Nutrition,Fruits and Vegetables,School/After School,Snack Food Consumption,Dead,S452,3,"(Abstract - Relates to snacks sold for student consumption in schools, provides for fat, calorie, and sugar content standards that snack food and beverages must meet in order to be sold in schools, defines the term regular school day, allows a school district to set stricter standards, provides nutritional requirements that elementary, middle, and high schools must follow for full meals for student consumption and to regulate portion size for a la carte item sales. Allows sale of bottled water and fruit and vegetable based drinks, and prohibits sale of sugary drinks. Sets rules for snacks and beverages offered for student consumption in vending machines.   ), (BillHistory - 01/26/2011 - INTRODUCED.;01/26/2011 - To SENATE Committee on EDUCATION.)",15,LEG,001NUT,025FAV,004SAS,4557,"(33.998821303, -81.045371207)"
2009,1,FL,Florida,Obesity,Access to Drinking Water,Restaurant/Retail,Obesity Prevention,Dead,S2332,3,"(Abstract - Relates to obesity prevention, requires the operator of a food service establishment that has five or more locations in the state to conspicuously disclose the number of calories of certain food items served or offered for sale in the food service establishment, provides the manner and requirements for the disclosure, provides that certain actions constitute a violation of the act. provides immunity from liability for the operator under certain circumstances.), (BillHistory - 02/27/2009 - PREFILED.;03/10/2009 - To SENATE Committee on HEALTH REGULATION.;03/10/2009 - Referred to SENATE Committee on COMMERCE.;03/10/2009 - Referred to SENATE Committee on JUDICIARY.;03/10/2009 - Referred to SENATE Committee on HEALTH AND HUMAN SERVICES APPROPRIATIONS.;03/19/2009 - INTRODUCED.;05/02/2009 - In SENATE.  Indefinitely postponed and withdrawn from consideration.)",33,LEG,002OB,014ADW,006RES,124,"(28.932040377, -81.928960539)"
2009,1,MN,Minnesota,Obesity,Appropriations,School/After School,Physical Education Standards,Dead,S61,3,"(Abstract - Relates to education, requires statewide academic standards for physical education.), (BillHistory - 01/12/2009 - INTRODUCED.;01/12/2009 - To SENATE Committee on EDUCATION.)",28,LEG,002OB,002APP,004SAS,1973,"(46.355648736, -94.794200503)"
2011,1,HI,Hawaii,Physical Activity,School Siting,School/After School,Improvements for the Benefit of the 4th District,Dead,H1625,3,"(Abstract - Appropriates funds for capital improvement projects for the benefit of the 4th representative district. Appropriates money for a variety of projects including, among others: a new gymnasium for a high school, a new cafeteria for an elementary school, upgrades and classrooms for some schools, and designing the Puna Makai alternate route to connect Nanawale estates subdivision with the city of Hilo to improve vehicular, pedestrian, bicycle, and transit circulation and safety.   ), (BillHistory - 01/26/2011 - INTRODUCED.;01/28/2011 - To HOUSE Committee on FINANCE.)",65,LEG,003PA,042SIT,004SAS,3748,"(21.304850435, -157.857749403)"
2009,1,RI,Rhode Island,Nutrition,Medical Care,Community,Motor Vehicles and Bicycles,Dead,H5074,3,"(Abstract - Requires there a three foot passing distance between a motor vehicle passing a bicycle, specifies that if it is impossible to achieve the required distance, the vehicle shall reduce its speed to 10 to 20 miles per hour the below the posted speed limit, provides for fines.), (BillHistory - 01/13/2009 - INTRODUCED.;01/13/2009 - To HOUSE Committee on JUDICIARY.;03/24/2009 - Scheduled for hearing and/or consideration.;03/24/2009 - Committee Postponed at request of Sponsor.;04/02/2009 - Scheduled for hearing and/or consideration.;04/02/2009 - In HOUSE Committee on JUDICIARY: Committee recommends measure to be held for further study.;06/08/2009 - Scheduled for hearing and/or consideration.;06/10/2009 - From HOUSE Committee on JUDICIARY:  Recommended as substituted.;06/27/2009 - Amended on HOUSE floor.;06/27/2009 - Passed HOUSE.  *****To SENATE.;06/27/2009 - To SENATE Committee on JUDICIARY.)",16,LEG,001NUT,026MEC,002COM,1341,"(41.708280193, -71.522470314)"
2010,1,CA,California,Nutrition,Fruits and Vegetables,Community,Farmers' Markets: Electronic Benefit Transfers,Enacted,A537,1,"(Abstract - Allows an interested collective group or association of produce sellers that is Food and Nutrition Service authorized and in a flea market, farmers' market or certified farmers' market to initiate and operate an electronic benefit transfer system acceptance system in the market. Provides that an individual produce seller in a market is not prohibited from operating his or her own individual system acceptance activity as part of that seller's personal business customer transaction offering. ), (BillHistory - 02/25/2009 - INTRODUCED.;03/12/2009 - To ASSEMBLY Committee on AGRICULTURE.;04/01/2009 - From ASSEMBLY Committee on AGRICULTURE with author's amendments.;04/01/2009 - In ASSEMBLY.  Read second time and amended. Re-referred to Committee on AGRICULTURE.;04/23/2009 - From ASSEMBLY Committee on AGRICULTURE with author's amendments.;04/23/2009 - In ASSEMBLY.  Read second time and amended. Re-referred to Committee on AGRICULTURE.;04/29/2009 - From ASSEMBLY Committee on AGRICULTURE:  Do pass to Committee on APPROPRIATIONS.;05/13/2009 - In ASSEMBLY Committee on APPROPRIATIONS: To Suspense File.;01/21/2010 - From ASSEMBLY Committee on APPROPRIATIONS:  Do pass as amended.;01/25/2010 - In ASSEMBLY.  Read second time and amended.  To second reading.;01/26/2010 - In ASSEMBLY.  Read second time.  To third reading.;01/27/2010 - In ASSEMBLY.  Read third time.  Passed ASSEMBLY.  *****To SENATE.;02/11/2010 - To SENATE Committee on HUMAN SERVICES.;04/28/2010 - From SENATE Committee on HUMAN SERVICES with author's amendments.;04/28/2010 - In SENATE.  Read second time and amended. Re-referred to Committee on HUMAN SERVICES.;06/10/2010 - In SENATE Committee on HUMAN SERVICES:  Heard, remains in Committee.;06/22/2010 - From SENATE Committee on HUMAN SERVICES:  Do pass as amended to Committee on APPROPRIATIONS.;06/30/2010 - In SENATE.  Read second time and amended. Re-referred to Committee on APPROPRIATIONS.;08/02/2010 - In SENATE Committee on APPROPRIATIONS: To Suspense File.;08/12/2010 - From SENATE Committee on APPROPRIATIONS:  Do pass as amended.;08/17/2010 - In SENATE.  Read second time and amended.  To third reading.;08/18/2010 - In SENATE.  Read third time and amended.  To second reading.;08/19/2010 - In SENATE.  Read second time.  To third reading.;08/23/2010 - In SENATE.  Read third time.  Passed SENATE.  *****To ASSEMBLY for concurrence.;08/24/2010 - In ASSEMBLY.  ASSEMBLY concurred in SENATE amendments.  To enrollment.;09/01/2010 - Enrolled.;09/07/2010 - *****To GOVERNOR.;09/29/2010 - Signed by GOVERNOR.;09/29/2010 - Chaptered by Secretary of State.  Chapter No. 435)",15,LEG,001NUT,025FAV,002COM,69,"(37.638640123, -120.999999538)"
